UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
kasun     1271     1  1271  0    3 21:16 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
kasun     1271     1  1334  0    3 21:16 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
kasun     1271     1  1335  0    3 21:16 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
kasun     1283   890  1283  0    3 21:16 ?        00:00:00 /usr/lib/dconf/dconf-service
kasun     1283   890  1300  0    3 21:16 ?        00:00:00 /usr/lib/dconf/dconf-service
kasun     1283   890  1302  0    3 21:16 ?        00:00:00 /usr/lib/dconf/dconf-service
rtkit     1305     1  1305  0    3 21:16 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1305     1  1309  0    3 21:16 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit     1305     1  1310  0    3 21:16 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
kasun     1308     1  1308  0    3 21:16 ?        00:00:00 xfce4-power-manager
kasun     1308     1  1311  0    3 21:16 ?        00:00:00 xfce4-power-manager
kasun     1308     1  1312  0    3 21:16 ?        00:00:00 xfce4-power-manager
root      1315     1  1315  0    3 21:16 ?        00:00:00 /usr/lib/upower/upowerd
root      1315     1  1323  0    3 21:16 ?        00:00:00 /usr/lib/upower/upowerd
root      1315     1  1324  0    3 21:16 ?        00:00:00 /usr/lib/upower/upowerd
kasun     1318   890  1318  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/notifyd/xfce4-notifyd
kasun     1318   890  1319  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/notifyd/xfce4-notifyd
kasun     1318   890  1321  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/notifyd/xfce4-notifyd
kasun     1338  1067  1338  0    3 21:16 ?        00:00:01 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 25165862 whiskermenu Whisker Menu Show a menu to easily access installed applications
kasun     1338  1067  1350  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 25165862 whiskermenu Whisker Menu Show a menu to easily access installed applications
kasun     1338  1067  1351  0    3 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 25165862 whiskermenu Whisker Menu Show a menu to easily access installed applications
kasun     1340   890  1340  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
kasun     1340   890  1345  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
kasun     1340   890  1346  0    3 21:16 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
kasun     1348  1067  1348  0    1 21:16 ?        00:00:00 /usr/lib/i386-linux-gnu/xfce4/panel/wrapper-1.0 /usr/lib/i386-linux-gnu/xfce4/panel/plugins/libsystray.so 4 25165869 systray Notification Area Area where notification icons appear
